Year,Month,Forcast_New,Forcast_Existing,Total_Forcat_stores,Date
2016,1,2588356.55818689,21829060.031666,24417416.5898529,2016-1
2016,10,2485732.28485161,20086270.4620746,22572002.7469262,2016-10
2016,11,2583447.59373453,20858119.95754,23441567.5512745,2016-11
2016,12,2562181.69998,21255190.2449756,23817371.9449556,2016-12
2016,2,2498567.17438226,21146329.6319817,23644896.806364,2016-2
2016,3,2919067.02480063,23735686.9387899,26654753.9635905,2016-3
2016,4,2797280.08298446,22409515.2844737,25206795.3674582,2016-4
2016,5,3163764.85919132,25621828.7250966,28785593.5842879,2016-5
2016,6,3202813.28867789,26307858.0400465,29510671.3287244,2016-6
2016,7,3228212.2422663,26705092.5563487,29933304.798615,2016-7
2016,8,2868914.81208235,23440761.3295266,26309676.1416089,2016-8
2016,9,2538372.26653368,20640047.3199708,23178419.5865045,2016-9
